,WellName,unique_core_descriptions.csv,unique_core_photos.csv,unique_discovery.csv,unique_GEOLINK.csv,unique_Norwegian_shows_v2.csv,unique_public_core_images_excel_recording.csv,unique_RealLogs_Por_Perm.csv,unique_RealLogs_completion.csv,unique_stratigraphic_picks.csv,Occurances
1483,30_3_1_R,0,0,0,0,0,0,1,0,0,1
1484,6205_3_1R,0,0,0,0,0,0,1,0,0,1
1485,7325_4_1,0,0,1,0,0,0,0,0,0,1
1486,18_11_1,0,0,0,0,0,0,0,0,1,1
1487,6204_10_02,0,0,1,0,0,0,0,0,0,1
1488,6305_7_D_7,0,0,0,0,0,0,1,0,0,1
1489,24_9_5,0,0,1,0,1,0,1,0,1,4
1490,2_7_3,0,0,0,0,1,0,1,0,0,2
1491,6609_7_1,0,0,0,0,1,0,0,0,0,1
1492,9_12_1,0,0,0,0,0,0,0,0,1,1
1493,31_5_J_41,0,0,0,0,0,0,1,0,0,1
1494,34_10_C_20T,0,0,0,0,0,0,1,0,0,1
1495,25_4_8,0,0,0,0,0,0,0,0,1,1
1496,15_9_1,0,0,0,0,1,0,0,0,1,2
1497,30_9_B29,0,0,0,0,0,0,1,0,0,1
1498,15_9_B_14,0,0,0,0,0,0,1,0,0,1
1499,6609_10_1,0,0,0,0,0,0,1,0,0,1
1500,3_7_7,0,0,0,0,0,0,1,0,0,1
1501,25_5_A1,0,0,0,0,0,0,1,0,0,1
1502,25_6_1,0,0,1,1,1,0,1,0,1,5
1503,25_8_12A,0,0,0,0,0,0,1,0,0,1
1504,34_7_J_1,0,0,0,0,0,0,1,0,0,1
1505,10_7_1,0,0,0,0,0,0,1,0,1,2
1506,17_11_2,0,0,0,0,0,0,0,0,1,1
1507,7_11_11_S,0,0,0,0,0,0,1,0,0,1
1508,26_5_1,0,0,0,0,0,0,0,0,1,1
1509,7122_7_5,0,0,0,0,0,0,1,0,0,1
1510,6707_10_1,0,0,1,0,0,0,1,0,0,2
1511,36_7_3,0,0,0,1,0,0,0,0,1,2
1512,6608_10_4,0,0,0,0,1,0,1,0,0,2
1513,30_9_2,0,0,0,0,0,0,1,0,1,2
1514,1_5_2,0,0,1,0,0,0,0,0,0,1
1515,30_3_A6_A_,0,0,0,0,0,0,1,0,0,1
1516,6407_01_07,0,0,1,0,0,0,0,0,0,1
1517,25_7_6,0,0,0,0,0,0,1,0,1,2
1518,16_1_3,0,0,0,0,0,0,0,0,1,1
1519,9_2_8S,0,0,0,0,0,0,1,0,0,1
1520,30_7_8,0,0,0,0,0,0,0,0,1,1
1521,15_12_1,0,0,0,0,1,0,1,0,1,3
1522,34_10_J_3H,0,0,0,0,0,0,1,0,0,1
1523,15_12_15,0,0,0,0,0,0,0,0,1,1
1524,7_11_7,0,0,0,0,0,0,1,0,1,2
1525,2_11_A_1_B,0,0,0,0,0,0,1,0,0,1
1526,34_10_20,0,0,0,0,0,0,0,0,1,1
1527,6406_1_2,0,0,1,0,0,0,0,0,0,1
1528,7216_11_1_S,0,0,0,0,0,0,1,0,0,1
1529,34_4_2,0,0,0,1,0,0,0,0,1,2
1530,34_10_5,0,0,0,1,0,0,1,0,1,3
1531,7019_1_1,0,0,0,0,0,0,1,0,0,1
1532,16_3_5,0,0,0,0,0,0,1,0,1,2
1533,6609_5_1,0,0,0,0,1,0,1,0,0,2
1534,33_9_20,0,0,0,0,0,0,0,0,1,1
1535,15_3_6,0,0,0,0,0,0,0,0,1,1
1536,6608_11_5,0,0,0,0,0,0,1,0,0,1
1537,33_12_B_19,0,0,0,0,0,0,1,0,0,1
1538,34_8_18,0,0,1,0,0,0,0,0,0,1
1539,7324_7_2,0,0,1,0,0,0,1,0,0,2
1540,24_9_2,0,0,0,0,1,0,0,0,1,2
1541,34_4_6,0,0,0,0,0,0,1,0,1,2
1542,16_1_2,0,0,0,1,1,0,0,0,1,3
1543,34_10_C8,0,0,0,0,0,0,1,0,0,1
1544,30_11_12,0,0,1,0,0,0,0,0,0,1
1545,7319_12_1,0,0,1,0,0,0,1,0,0,2
1546,8_10_1,0,0,0,0,0,0,0,0,1,1
1547,31_2_D_9,0,0,0,0,0,0,1,0,0,1
1548,7229_11_1,0,0,0,0,0,0,1,0,0,1
1549,25_2_1,0,0,1,0,0,0,0,0,1,2
1550,31_2_6,0,0,0,0,0,0,1,0,1,2
1551,30_6_C8,0,0,0,0,0,0,1,0,0,1
1552,30_9_17,0,0,0,0,0,0,0,0,1,1
1553,34_10_39,0,0,0,0,0,0,0,0,1,1
1554,7316_5_1,0,0,0,0,0,0,1,0,0,1
1555,25_2_11,0,0,0,0,0,0,0,0,1,1
1556,6201_11_01,0,0,1,0,0,0,0,0,0,1
1557,34_10_K_2H,0,0,0,0,0,0,1,0,0,1
1558,6406_2_S_3_HT3,0,0,0,0,0,0,1,0,0,1
1559,30_9_27,0,0,1,0,0,0,0,0,1,2
1560,34_10_21,0,0,0,1,0,0,1,0,1,3
1561,33_5_1,0,0,0,0,0,0,0,0,1,1
1562,30_8_2,0,0,0,0,0,0,1,0,1,2
1563,31_2_4,0,0,0,0,0,0,1,0,1,2
1564,30_6_C_8,0,0,0,0,0,0,1,0,0,1
1565,7124_3_1,0,0,1,0,0,0,1,0,0,2
1566,15_9_10,0,0,0,0,1,0,1,0,1,3
1567,33_9_A17,0,0,0,0,0,0,1,0,0,1
1568,15_9_B_1,0,0,1,0,0,0,0,0,0,1
1569,2_7_22,0,0,0,0,1,0,0,0,0,1
