cmpLongName,fldName,cmpRemainingOil,cmpRemainingGas,cmpRemainingNGL,cmpRemainingCondensate,cmpRemainingOE,cmpDateOffResEstDisplay,cmpShare,fldNpdidField,cmpNpdidCompany,DatesyncNPD
Lundin Norway AS,IVAR AASEN,0.25,0.04,0.01,0.00,0.31,31.12.2018,1.38500,23384520,2767314,24.01.2020
Lundin Norway AS,JOHAN SVERDRUP,81.32,2.05,0.90,0.00,85.07,31.12.2018,20.00000,26376286,2767314,24.01.2020
Lundin Norway AS,SOLVEIG,4.54,0.94,0.27,0.00,5.99,31.12.2018,65.00000,34833011,2767314,24.01.2020
Lundin Norway AS,VOLUND,0.90,0.18,0.00,0.00,1.09,31.12.2018,35.00000,4380167,2767314,24.01.2020
Mime Petroleum AS,BALDER,1.46,0.00,0.00,0.00,1.47,31.12.2018,10.00000,43562,29491564,24.01.2020
Mime Petroleum AS,JOTUN,0.00,0.00,0.00,0.00,0.00,31.12.2018,10.00000,43604,29491564,24.01.2020
Mime Petroleum AS,RINGHORNE ØST,0.30,0.00,0.00,0.00,0.30,31.12.2018,7.40000,3505505,29491564,24.01.2020
Neptune Energy Norge AS,BAUGE,1.00,0.24,0.12,0.00,1.46,31.12.2018,12.50000,29446221,31123361,24.01.2020
Neptune Energy Norge AS,BRAGE,0.16,0.03,0.01,0.00,0.21,31.12.2018,4.44240,43651,31123361,24.01.2020
Neptune Energy Norge AS,BYRDING,0.12,0.10,0.01,0.00,0.24,31.12.2018,15.00000,28975067,31123361,24.01.2020
